feature,beta
log_ret,-0.42111235026574706
ret_1d,-0.3839129570414986
ret_2d,-0.36454874373556795
ret_3d,-0.49968620398515445
ret_5d,-0.2302790275349779
ret_10d,-0.2172035457227684
ret_20d,-0.11446835247607932
ret_63d,-0.05882209537031144
ret_126d,-0.03369641093613238
ret_252d,-0.07007933406604248
mom_sign_5d,-0.009043485404040034
mom_sign_20d,0.002583603763754421
mom_sign_63d,-0.0366081151932921
mom_sign_126d,0.025145132464580958
mom_sign_252d,-0.03054099161868851
roc_5d,-0.20844439136811102
roc_20d,-0.10965019303985127
roc_63d,-0.07167476701201808
ret_spread_5_20,0.04446272717286663
ret_spread_20_63,-0.010282760665186314
