ticker,barrier,feature_selection,model,split_id,auc,accuracy,precision,recall,f1,sharpe,trade_count,selected_feature_count,train_rows,test_rows
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,0,0.8005639097744361,0.6203703703703703,0.4810126582278481,1.0,0.6495726495726496,5.1668441679931965,79,188,207,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,1,0.7158582731338149,0.6851851851851852,0.6455696202531646,0.8947368421052632,0.75,5.694131485532889,79,188,198,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,2,0.6729166666666666,0.6203703703703703,0.6610169491525424,0.65,0.6554621848739496,4.310437037919048,59,188,197,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,3,0.6975694444444446,0.5370370370370371,0.4880952380952381,0.8541666666666666,0.6212121212121212,3.104534405479354,84,188,190,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,4,0.5972222222222222,0.5555555555555556,0.7222222222222222,0.5416666666666666,0.6190476190476191,4.475678099759385,54,188,200,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,5,0.8947368421052632,0.8240740740740741,0.0,0.0,0.0,,0,188,209,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,6,0.61892177589852,0.5648148148148148,0.30158730158730157,0.8636363636363636,0.4470588235294118,4.6425369161418075,63,188,192,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,7,0.6744897959183673,0.5555555555555556,0.12,0.6,0.2,0.3149733070042649,50,188,185,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,8,0.4447535771065183,0.4537037037037037,0.2641509433962264,0.4117647058823529,0.3218390804597701,1.4547040911659934,53,188,195,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,9,0.6687295231161267,0.6296296296296297,0.5135135135135135,0.4634146341463415,0.48717948717948717,2.805235961807859,37,188,202,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,10,0.5744216499345265,0.6388888888888888,0.3333333333333333,0.3448275862068966,0.3389830508474576,0.23444619923629742,30,188,184,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,11,0.5972555746140652,0.4537037037037037,0.375,0.16981132075471697,0.23376623376623376,-1.2242817394070553,24,188,194,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,12,0.5542763157894737,0.3611111111111111,0.30927835051546393,0.9375,0.46511627906976744,-0.8678410495274829,97,188,200,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,13,0.3557692307692308,0.3888888888888889,0.3076923076923077,0.14285714285714285,0.1951219512195122,-0.2835983813986672,26,188,193,108
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,14,0.3991477272727273,0.4074074074074074,0.35714285714285715,0.5681818181818182,0.43859649122807015,-1.9263946525706763,70,188,206,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,0,0.8263157894736842,0.7314814814814815,0.5714285714285714,0.9473684210526315,0.7128712871287128,5.13098514221342,63,188,207,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,1,0.545579635362917,0.5370370370370371,0.64,0.2807017543859649,0.3902439024390244,1.1372144170320788,25,188,198,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,2,0.6631944444444444,0.5,0.59375,0.31666666666666665,0.41304347826086957,2.247413405488597,32,188,197,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,3,0.4173611111111111,0.42592592592592593,0.3793103448275862,0.4583333333333333,0.41509433962264153,-1.2982975569148743,58,188,190,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,4,0.6508487654320987,0.3888888888888889,0.75,0.125,0.21428571428571427,2.586760541142811,12,188,200,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,5,0.7930218805440568,0.4074074074074074,0.21518987341772153,0.8947368421052632,0.3469387755102041,3.4669353527876234,79,188,209,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,6,0.3477801268498943,0.7222222222222222,0.0,0.0,0.0,2.129542682852802,8,188,192,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,7,0.653061224489796,0.7222222222222222,0.16666666666666666,0.5,0.25,1.5541952961637115,30,188,185,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,8,0.428060413354531,0.49074074074074076,0.2558139534883721,0.3235294117647059,0.2857142857142857,6.400005571484097,43,188,195,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,9,0.6075718966144885,0.6759259259259259,0.625,0.36585365853658536,0.46153846153846156,5.545054555921144,24,188,202,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,10,0.5923177651680489,0.5740740740740741,0.3333333333333333,0.5862068965517241,0.425,0.7516942901861937,51,188,184,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,11,0.5571183533447684,0.5833333333333334,0.7,0.2641509433962264,0.3835616438356164,5.863698966270045,20,188,194,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,12,0.4527138157894737,0.5833333333333334,0.3142857142857143,0.34375,0.3283582089552239,0.812253470060839,35,188,200,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,13,0.46153846153846156,0.5185185185185185,0.6428571428571429,0.16071428571428573,0.2571428571428571,3.615461697721799,14,188,193,108
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,14,0.4492187499999999,0.37962962962962965,0.31746031746031744,0.45454545454545453,0.37383177570093457,-2.59175652200801,63,188,206,108
